price,quantity
122003.99,12.67184
122002.99,0.00015
122002.98,0.77675
122002.97,2.00125
122002.96,0.01237
122002.8,8e-05
122002.79,0.0402
122002.3,5e-05
122002.29,0.27075
122002.28,5e-05
122002.07,0.08123
122002.0,0.05295
122000.97,0.0163
122000.71,0.00039
122000.51,5e-05
122000.0,0.27086
121999.99,0.04025
121999.1,0.0001
121999.02,5e-05
121999.01,0.4921
121998.87,0.0001
121998.86,0.31076
121998.0,0.05285
121996.97,0.36905
121996.87,0.00102
121996.62,5e-05
121996.61,0.0402
121996.07,0.00039
121996.02,0.0004
121996.01,1.31453
121996.0,0.32341
121995.99,0.0401
121995.44,5e-05
121995.43,0.0002
121995.36,0.26329
121995.15,0.0001
121995.14,1.57382
121995.13,0.26258
121995.11,5e-05
121994.84,0.00088
121994.15,5e-05
121994.12,0.0001
121994.11,0.49205
121994.0,0.05285
121993.99,0.0461
121993.98,0.36905
121992.85,5e-05
121992.63,0.0004
121992.28,0.34734
121992.25,0.29512
121992.0,0.0528
121991.8,0.246
121991.43,0.00054
121991.42,0.0807
121991.41,0.00818
121991.32,5e-05
121991.25,0.00819
121991.23,0.2
121991.18,0.0062
121991.0,0.04098
121990.55,0.492
121990.51,0.00068
121990.28,0.00819
121990.0,0.0528
121989.58,0.0004
121989.19,8e-05
121989.12,0.04098
121988.76,9e-05
121988.62,0.01679
121988.0,0.0528
121987.54,5e-05
121987.47,0.91495
121987.46,1.24229
121987.36,7e-05
121986.9,5e-05
121986.01,0.00409
121986.0,0.0528
121985.98,0.00088
121985.68,0.003
121985.32,0.00097
121985.28,9e-05
121985.0,0.073
121984.38,0.022
121984.28,0.0954
121984.0,0.0528
121983.76,5e-05
121983.13,0.144
121983.11,0.1224
121983.07,0.1007
121983.03,0.0954
121982.9,0.2
121982.02,1.24229
121982.01,0.33128
121982.0,0.0528
121981.67,0.70957
121981.63,0.00497
121980.95,5e-05
121979.98,5e-05
121979.9,9e-05
121979.39,0.32788
